Student_ID,Age,Gender,Grade_Level,Field_of_Study,Usage_of_VR_in_Education,Hours_of_VR_Usage_Per_Week,Engagement_Level,Improvement_in_Learning_Outcomes,Subject,Instructor_VR_Proficiency,Perceived_Effectiveness_of_VR,Access_to_VR_Equipment,Impact_on_Creativity,Stress_Level_with_VR_Usage,Collaboration_with_Peers_via_VR,Feedback_from_Educators_on_VR,Interest_in_Continuing_VR_Based_Learning,Region,School_Support_for_VR_in_Curriculum
STUD13,22.0,4.0,3.0,5.0,1.0,2.0,5.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,1.0,3.0,2.0,3.0,2.0
STUD14,27.0,3.0,1.0,5.0,1.0,9.0,5.0,1.0,4.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0
STUD15,21.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,3.0,2.0
STUD16,18.0,3.0,1.0,7.0,2.0,3.0,1.0,2.0,3.0,2.0,5.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0
STUD17,28.0,1.0,2.0,2.0,1.0,5.0,1.0,2.0,7.0,2.0,4.0,2.0,3.0,2.0,2.0,2.0,1.0,6.0,2.0
STUD18,18.0,3.0,2.0,5.0,2.0,10.0,1.0,1.0,4.0,3.0,4.0,2.0,5.0,3.0,2.0,3.0,1.0,4.0,1.0
STUD19,16.0,3.0,3.0,7.0,1.0,4.0,3.0,2.0,4.0,3.0,5.0,1.0,4.0,1.0,1.0,1.0,2.0,3.0,2.0
STUD20,16.0,3.0,2.0,6.0,2.0,8.0,3.0,2.0,6.0,1.0,1.0,1.0,3.0,3.0,2.0,3.0,1.0,2.0,2.0
STUD21,24.0,1.0,3.0,5.0,2.0,8.0,3.0,1.0,4.0,2.0,2.0,2.0,4.0,2.0,1.0,2.0,2.0,1.0,2.0
STUD22,16.0,3.0,1.0,2.0,1.0,9.0,3.0,2.0,7.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0
STUD23,27.0,2.0,3.0,4.0,2.0,9.0,3.0,2.0,7.0,3.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,5.0,1.0
STUD24,17.0,1.0,2.0,3.0,2.0,4.0,3.0,2.0,1.0,1.0,5.0,2.0,1.0,3.0,2.0,3.0,1.0,1.0,2.0
STUD25,16.0,1.0,2.0,6.0,2.0,7.0,4.0,1.0,2.0,3.0,1.0,1.0,5.0,3.0,2.0,1.0,1.0,2.0,1.0
STUD26,15.0,4.0,2.0,3.0,1.0,3.0,1.0,1.0,5.0,2.0,2.0,1.0,3.0,1.0,1.0,3.0,2.0,4.0,2.0
STUD27,15.0,1.0,2.0,1.0,2.0,3.0,4.0,2.0,5.0,2.0,3.0,1.0,4.0,2.0,2.0,3.0,1.0,3.0,1.0
STUD28,23.0,3.0,3.0,4.0,2.0,5.0,4.0,1.0,3.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0
STUD29,25.0,1.0,1.0,3.0,2.0,10.0,5.0,2.0,5.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,5.0,1.0
STUD30,16.0,2.0,1.0,5.0,2.0,5.0,5.0,1.0,5.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,2.0
STUD31,12.0,3.0,2.0,2.0,1.0,0.0,5.0,1.0,1.0,3.0,3.0,1.0,5.0,1.0,1.0,2.0,2.0,2.0,2.0
STUD32,22.0,4.0,1.0,4.0,1.0,8.0,3.0,2.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0
STUD33,18.0,2.0,2.0,4.0,1.0,8.0,3.0,2.0,2.0,3.0,3.0,1.0,5.0,1.0,2.0,1.0,1.0,3.0,2.0
STUD34,15.0,4.0,3.0,3.0,1.0,4.0,4.0,1.0,1.0,2.0,5.0,2.0,1.0,3.0,2.0,3.0,1.0,5.0,2.0
STUD35,21.0,4.0,2.0,7.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,2.0,4.0,2.0
STUD36,15.0,4.0,3.0,1.0,2.0,3.0,5.0,2.0,7.0,3.0,4.0,1.0,5.0,1.0,1.0,3.0,2.0,2.0,1.0
STUD37,30.0,4.0,2.0,7.0,2.0,6.0,1.0,1.0,4.0,3.0,3.0,2.0,5.0,2.0,2.0,2.0,1.0,2.0,1.0
STUD38,12.0,2.0,2.0,4.0,2.0,7.0,5.0,1.0,6.0,1.0,5.0,1.0,5.0,2.0,1.0,1.0,2.0,6.0,1.0
STUD39,29.0,3.0,1.0,4.0,1.0,4.0,4.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,1.0,4.0,1.0
STUD40,21.0,2.0,2.0,6.0,1.0,8.0,3.0,2.0,3.0,2.0,5.0,2.0,5.0,2.0,2.0,1.0,1.0,6.0,1.0
STUD41,26.0,3.0,1.0,5.0,2.0,7.0,3.0,1.0,6.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,4.0,1.0
STUD42,28.0,3.0,2.0,4.0,1.0,0.0,3.0,1.0,6.0,2.0,3.0,2.0,4.0,3.0,1.0,2.0,2.0,5.0,2.0
STUD43,15.0,4.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,6.0,2.0
STUD44,30.0,1.0,1.0,6.0,2.0,0.0,5.0,2.0,7.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0
STUD45,26.0,3.0,2.0,3.0,2.0,0.0,5.0,2.0,5.0,2.0,3.0,1.0,5.0,3.0,2.0,2.0,1.0,1.0,1.0
STUD46,26.0,3.0,3.0,4.0,2.0,6.0,4.0,2.0,3.0,3.0,3.0,2.0,3.0,1.0,2.0,1.0,2.0,4.0,2.0
STUD47,19.0,4.0,1.0,1.0,2.0,10.0,4.0,2.0,2.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,4.0,1.0
STUD48,15.0,3.0,3.0,7.0,2.0,6.0,1.0,2.0,6.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0,2.0
STUD49,23.0,3.0,3.0,4.0,1.0,4.0,5.0,2.0,4.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0
STUD50,14.0,2.0,2.0,7.0,1.0,9.0,5.0,2.0,1.0,2.0,4.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0
STUD51,18.0,1.0,3.0,5.0,1.0,6.0,3.0,2.0,2.0,2.0,5.0,1.0,2.0,1.0,1.0,2.0,1.0,6.0,2.0
STUD52,28.0,3.0,1.0,4.0,1.0,9.0,1.0,1.0,5.0,2.0,5.0,2.0,5.0,1.0,2.0,2.0,1.0,6.0,1.0
STUD53,21.0,1.0,1.0,5.0,2.0,7.0,2.0,1.0,6.0,2.0,3.0,1.0,4.0,3.0,2.0,1.0,2.0,3.0,2.0
STUD54,29.0,4.0,3.0,2.0,1.0,5.0,3.0,2.0,2.0,3.0,3.0,2.0,5.0,3.0,1.0,3.0,1.0,1.0,1.0
STUD55,14.0,4.0,2.0,4.0,1.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,6.0,2.0
STUD56,24.0,1.0,1.0,7.0,2.0,8.0,5.0,1.0,4.0,3.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,3.0,1.0
STUD57,25.0,3.0,1.0,7.0,1.0,5.0,2.0,1.0,4.0,3.0,4.0,1.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0
STUD58,30.0,4.0,1.0,1.0,2.0,0.0,2.0,2.0,6.0,1.0,2.0,1.0,4.0,1.0,2.0,3.0,2.0,1.0,2.0
STUD59,23.0,3.0,1.0,4.0,2.0,3.0,2.0,2.0,7.0,3.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,5.0,2.0
STUD60,14.0,4.0,3.0,1.0,2.0,3.0,5.0,2.0,3.0,3.0,1.0,1.0,4.0,3.0,1.0,2.0,2.0,3.0,1.0
STUD61,25.0,4.0,2.0,1.0,2.0,10.0,2.0,2.0,5.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0
STUD62,20.0,1.0,2.0,6.0,1.0,5.0,5.0,2.0,6.0,3.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,5.0,2.0
STUD63,24.0,2.0,1.0,6.0,1.0,9.0,5.0,2.0,7.0,3.0,2.0,2.0,5.0,3.0,2.0,2.0,2.0,2.0,2.0
STUD64,19.0,4.0,3.0,7.0,2.0,5.0,1.0,1.0,7.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,6.0,2.0
STUD65,16.0,1.0,1.0,5.0,2.0,2.0,1.0,2.0,6.0,3.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,5.0,2.0
STUD66,22.0,3.0,1.0,4.0,2.0,4.0,5.0,2.0,7.0,1.0,4.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0
STUD67,16.0,2.0,3.0,4.0,1.0,3.0,3.0,1.0,5.0,3.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0,6.0,2.0
STUD68,27.0,1.0,2.0,1.0,2.0,6.0,2.0,2.0,6.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,5.0,1.0
STUD69,29.0,4.0,1.0,5.0,1.0,1.0,2.0,1.0,6.0,3.0,5.0,2.0,4.0,1.0,2.0,2.0,1.0,4.0,1.0
STUD70,20.0,3.0,1.0,1.0,1.0,7.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0
STUD71,23.0,4.0,2.0,4.0,1.0,3.0,3.0,1.0,7.0,1.0,2.0,2.0,5.0,1.0,2.0,3.0,1.0,2.0,2.0
STUD72,17.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,3.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,5.0,2.0
STUD73,19.0,3.0,1.0,5.0,1.0,9.0,2.0,1.0,1.0,2.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,1.0
STUD74,17.0,2.0,1.0,6.0,2.0,9.0,1.0,2.0,7.0,1.0,5.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0
STUD75,30.0,1.0,1.0,4.0,1.0,9.0,1.0,1.0,1.0,3.0,4.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0
STUD76,20.0,4.0,1.0,1.0,2.0,7.0,5.0,2.0,4.0,1.0,2.0,1.0,4.0,1.0,2.0,3.0,2.0,5.0,1.0
STUD77,20.0,2.0,3.0,1.0,2.0,0.0,5.0,2.0,5.0,2.0,3.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,1.0
STUD78,18.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,7.0,3.0,5.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0
STUD79,23.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,3.0,1.0,2.0,5.0,1.0,1.0,2.0,2.0,4.0,1.0
STUD80,30.0,1.0,2.0,7.0,1.0,7.0,5.0,2.0,3.0,1.0,3.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0
STUD81,30.0,1.0,2.0,7.0,1.0,10.0,4.0,1.0,7.0,3.0,2.0,1.0,3.0,1.0,2.0,3.0,1.0,3.0,1.0
STUD82,14.0,1.0,2.0,6.0,1.0,10.0,1.0,2.0,4.0,3.0,5.0,1.0,3.0,2.0,1.0,2.0,1.0,5.0,2.0
STUD83,27.0,2.0,1.0,2.0,1.0,10.0,3.0,2.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,2.0,2.0,1.0
STUD84,23.0,4.0,2.0,6.0,1.0,9.0,4.0,1.0,5.0,2.0,2.0,2.0,5.0,3.0,1.0,2.0,2.0,3.0,1.0
STUD85,24.0,1.0,1.0,6.0,1.0,6.0,4.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0
STUD86,16.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,6.0,2.0
STUD87,23.0,3.0,2.0,5.0,1.0,8.0,3.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,1.0,3.0,1.0,1.0,2.0
STUD88,16.0,2.0,3.0,2.0,2.0,5.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,1.0
STUD89,26.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,5.0,3.0,1.0,1.0,1.0,6.0,2.0
STUD90,30.0,3.0,1.0,3.0,1.0,1.0,5.0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,6.0,1.0
STUD91,21.0,1.0,2.0,4.0,2.0,7.0,3.0,2.0,1.0,2.0,2.0,1.0,5.0,2.0,1.0,1.0,2.0,3.0,2.0
STUD92,12.0,1.0,3.0,4.0,2.0,6.0,2.0,1.0,6.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,1.0,6.0,2.0
STUD93,13.0,2.0,3.0,1.0,2.0,3.0,3.0,2.0,7.0,2.0,4.0,2.0,1.0,3.0,2.0,3.0,1.0,2.0,2.0
STUD94,30.0,2.0,2.0,6.0,1.0,10.0,3.0,1.0,6.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0
STUD95,15.0,3.0,3.0,6.0,2.0,0.0,1.0,2.0,6.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0,1.0
STUD96,25.0,1.0,2.0,6.0,2.0,4.0,5.0,2.0,4.0,1.0,5.0,2.0,1.0,3.0,2.0,2.0,2.0,4.0,1.0
STUD97,17.0,2.0,2.0,2.0,2.0,7.0,1.0,1.0,5.0,2.0,3.0,1.0,2.0,2.0,1.0,3.0,1.0,5.0,1.0
STUD98,29.0,1.0,2.0,5.0,1.0,2.0,5.0,1.0,6.0,3.0,3.0,1.0,3.0,1.0,2.0,2.0,2.0,4.0,1.0
STUD99,21.0,3.0,2.0,3.0,1.0,4.0,2.0,2.0,6.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0
STUD100,18.0,3.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0
STUD101,15.0,3.0,1.0,6.0,1.0,2.0,3.0,1.0,5.0,2.0,3.0,2.0,5.0,3.0,1.0,3.0,2.0,4.0,1.0
STUD102,17.0,3.0,1.0,6.0,1.0,5.0,5.0,1.0,3.0,3.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,6.0,2.0
STUD103,25.0,3.0,3.0,7.0,2.0,4.0,3.0,2.0,6.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,5.0,2.0
STUD104,13.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,4.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,2.0,3.0,1.0
STUD105,17.0,4.0,1.0,1.0,1.0,10.0,3.0,1.0,1.0,1.0,2.0,2.0,5.0,1.0,2.0,2.0,2.0,4.0,2.0
STUD106,29.0,4.0,3.0,6.0,2.0,6.0,5.0,1.0,6.0,1.0,3.0,1.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0
STUD107,24.0,3.0,3.0,7.0,1.0,1.0,1.0,2.0,5.0,2.0,3.0,1.0,3.0,3.0,1.0,1.0,2.0,4.0,1.0
STUD108,22.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,4.0,2.0,5.0,1.0,2.0,3.0,2.0,2.0,1.0,5.0,1.0
STUD109,27.0,3.0,1.0,6.0,1.0,7.0,5.0,1.0,7.0,1.0,4.0,2.0,3.0,2.0,2.0,1.0,1.0,4.0,2.0
STUD110,15.0,1.0,1.0,3.0,1.0,7.0,5.0,2.0,5.0,1.0,3.0,1.0,4.0,3.0,2.0,3.0,2.0,4.0,2.0
STUD111,28.0,1.0,1.0,5.0,2.0,0.0,2.0,1.0,7.0,3.0,5.0,1.0,3.0,2.0,1.0,1.0,2.0,5.0,2.0
STUD112,21.0,2.0,2.0,6.0,1.0,4.0,4.0,1.0,5.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,6.0,2.0
STUD113,25.0,3.0,1.0,7.0,2.0,8.0,2.0,1.0,5.0,1.0,3.0,2.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0
STUD114,20.0,4.0,2.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0
STUD115,14.0,2.0,2.0,1.0,1.0,2.0,4.0,1.0,6.0,1.0,1.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0
STUD116,20.0,2.0,1.0,3.0,2.0,6.0,3.0,1.0,7.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,5.0,2.0
STUD117,13.0,1.0,1.0,6.0,2.0,5.0,5.0,1.0,4.0,1.0,5.0,2.0,3.0,3.0,2.0,1.0,2.0,5.0,1.0
STUD118,24.0,2.0,1.0,4.0,2.0,5.0,2.0,1.0,1.0,2.0,4.0,2.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0
STUD119,24.0,1.0,3.0,6.0,1.0,1.0,4.0,1.0,7.0,3.0,3.0,2.0,3.0,2.0,1.0,3.0,2.0,4.0,1.0
STUD120,28.0,4.0,2.0,3.0,1.0,9.0,2.0,2.0,5.0,2.0,1.0,1.0,5.0,2.0,2.0,2.0,1.0,4.0,1.0
STUD121,20.0,2.0,1.0,6.0,2.0,2.0,3.0,2.0,2.0,2.0,5.0,2.0,3.0,2.0,1.0,1.0,2.0,4.0,1.0
STUD122,15.0,2.0,2.0,3.0,2.0,5.0,3.0,2.0,2.0,1.0,4.0,2.0,2.0,3.0,2.0,3.0,2.0,5.0,1.0
STUD123,27.0,4.0,1.0,3.0,1.0,8.0,2.0,1.0,4.0,2.0,1.0,2.0,5.0,3.0,1.0,1.0,2.0,1.0,1.0
STUD124,26.0,2.0,1.0,4.0,2.0,7.0,3.0,1.0,2.0,2.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,1.0
STUD125,17.0,1.0,2.0,1.0,2.0,10.0,3.0,1.0,4.0,2.0,1.0,2.0,4.0,1.0,1.0,2.0,2.0,1.0,2.0
STUD126,24.0,4.0,3.0,2.0,2.0,7.0,5.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,6.0,2.0
STUD127,24.0,1.0,3.0,5.0,1.0,6.0,3.0,1.0,4.0,3.0,2.0,1.0,4.0,1.0,2.0,1.0,2.0,5.0,2.0
STUD128,12.0,2.0,1.0,2.0,1.0,2.0,4.0,2.0,3.0,1.0,3.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0
STUD129,12.0,1.0,1.0,7.0,2.0,4.0,2.0,2.0,7.0,3.0,3.0,1.0,5.0,1.0,1.0,1.0,1.0,4.0,2.0
STUD130,15.0,3.0,1.0,2.0,2.0,7.0,1.0,1.0,7.0,3.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0
STUD131,23.0,1.0,2.0,3.0,1.0,5.0,5.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,2.0
STUD132,30.0,1.0,2.0,7.0,1.0,10.0,5.0,1.0,7.0,1.0,4.0,2.0,3.0,2.0,1.0,3.0,1.0,6.0,1.0
STUD133,18.0,1.0,2.0,2.0,1.0,4.0,5.0,2.0,7.0,1.0,3.0,2.0,4.0,2.0,1.0,3.0,2.0,4.0,2.0
STUD134,19.0,1.0,2.0,4.0,2.0,4.0,5.0,1.0,7.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0
STUD135,15.0,1.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,3.0,5.0,1.0,4.0,3.0,2.0,2.0,1.0,3.0,2.0
STUD136,17.0,3.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,1.0
STUD137,21.0,3.0,3.0,4.0,2.0,9.0,2.0,2.0,7.0,3.0,4.0,2.0,4.0,1.0,2.0,2.0,1.0,5.0,2.0
STUD138,30.0,1.0,1.0,6.0,1.0,6.0,2.0,1.0,7.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,2.0
STUD139,25.0,1.0,2.0,2.0,2.0,2.0,5.0,2.0,5.0,3.0,3.0,2.0,4.0,2.0,2.0,1.0,2.0,3.0,2.0
STUD140,16.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0
STUD141,12.0,1.0,2.0,7.0,2.0,6.0,3.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,6.0,1.0
STUD142,13.0,3.0,3.0,4.0,2.0,7.0,3.0,2.0,6.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,5.0,1.0
STUD143,27.0,1.0,2.0,4.0,2.0,7.0,3.0,2.0,4.0,3.0,4.0,2.0,1.0,2.0,1.0,3.0,1.0,4.0,1.0
STUD144,22.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,4.0,2.0,5.0,2.0,1.0,3.0,2.0,3.0,2.0,4.0,2.0
STUD145,26.0,3.0,3.0,2.0,1.0,7.0,4.0,2.0,1.0,2.0,5.0,2.0,5.0,3.0,1.0,1.0,2.0,2.0,1.0
STUD146,25.0,4.0,3.0,7.0,1.0,5.0,3.0,2.0,4.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0
STUD147,23.0,3.0,3.0,3.0,2.0,5.0,5.0,1.0,2.0,1.0,4.0,2.0,1.0,3.0,2.0,3.0,1.0,5.0,1.0
STUD148,21.0,3.0,3.0,7.0,1.0,6.0,4.0,1.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0
STUD149,14.0,4.0,1.0,5.0,2.0,3.0,5.0,2.0,5.0,2.0,4.0,1.0,5.0,2.0,1.0,3.0,1.0,2.0,1.0
STUD150,15.0,4.0,3.0,5.0,1.0,0.0,5.0,1.0,5.0,2.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,5.0,1.0
STUD151,28.0,1.0,3.0,3.0,2.0,4.0,2.0,1.0,5.0,3.0,3.0,1.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0
STUD152,17.0,2.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0
STUD153,26.0,2.0,3.0,3.0,1.0,7.0,1.0,2.0,2.0,1.0,5.0,2.0,4.0,2.0,2.0,1.0,1.0,3.0,1.0
STUD154,13.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,4.0,3.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0
STUD155,27.0,4.0,1.0,7.0,1.0,9.0,1.0,2.0,7.0,2.0,5.0,1.0,1.0,3.0,2.0,1.0,2.0,3.0,1.0
STUD156,28.0,2.0,3.0,5.0,1.0,2.0,3.0,2.0,1.0,3.0,5.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0
STUD157,24.0,2.0,2.0,6.0,1.0,4.0,3.0,2.0,4.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0
STUD158,14.0,3.0,2.0,3.0,1.0,1.0,5.0,2.0,4.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,4.0,2.0
STUD159,22.0,4.0,1.0,3.0,2.0,5.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,6.0,2.0
STUD160,26.0,4.0,2.0,3.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,5.0,1.0,1.0,3.0,2.0,5.0,2.0
STUD161,26.0,1.0,1.0,4.0,1.0,6.0,5.0,2.0,4.0,3.0,1.0,2.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0
STUD162,21.0,3.0,2.0,7.0,2.0,5.0,1.0,1.0,4.0,2.0,3.0,2.0,5.0,3.0,2.0,3.0,1.0,5.0,2.0
STUD163,14.0,1.0,2.0,4.0,1.0,7.0,2.0,2.0,4.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,5.0,1.0
STUD164,15.0,3.0,2.0,1.0,2.0,4.0,4.0,1.0,4.0,1.0,5.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,1.0
STUD165,16.0,3.0,2.0,1.0,1.0,0.0,4.0,1.0,4.0,3.0,4.0,2.0,3.0,1.0,1.0,1.0,2.0,6.0,2.0
STUD166,18.0,2.0,3.0,2.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,5.0,3.0,2.0,3.0,2.0,4.0,2.0
STUD167,25.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,4.0,2.0,4.0,2.0,1.0,2.0,1.0,2.0,2.0,5.0,2.0
